dataset,label,horizon_h,model,backend,fold_count,test_event_count,median_mae_cm,mean_mae_cm,worst_fold_mae_cm,median_rmse_cm,median_nse,median_bias_cm,median_peak_error_cm,worst_peak_error_cm,median_peak_lag_h,worst_peak_lag_h,completed_folds,event_rows,rank_by_mae_rmse,family
stz_2h,Santa Tereza · 2 h,2,XGBoost,xgboost,12,12,4.682623793118184,7.319159548548719,15.737047524264687,7.820899713576726,0.9965753494697472,0.9439119322997018,3.4871888160705566,22.780128479003903,0.0,2.0,12,12,1,boosting
stz_2h,Santa Tereza · 2 h,2,Extra Trees,scikit-learn,12,12,4.754490653307102,6.977496619778639,14.017444952841943,8.122970525453967,0.996760891218506,0.8414324813659352,4.245320256511775,21.09668674072941,0.0,2.0,12,12,2,árvores
stz_2h,Santa Tereza · 2 h,2,LightGBM,lightgbm,12,12,4.949282297167632,7.715010893053342,17.752358664836116,8.66973874536652,0.995801501445739,1.1291065619000342,5.217462524963423,31.93565844433033,0.0,1.0,12,12,3,boosting
stz_2h,Santa Tereza · 2 h,2,Random Forest,scikit-learn,12,12,5.063139735372999,7.382078950385637,15.081815754794588,8.47194692824398,0.9962498528654118,1.0635780457231396,4.135161514755396,20.66183283744681,0.0,2.0,12,12,4,árvores
stz_2h,Santa Tereza · 2 h,2,HistGradientBoosting,scikit-learn,12,12,5.098974034899133,7.819562342333477,17.53313140755172,8.806416507459982,0.99611092497614,0.8434725032456521,5.072006198014208,38.06577685650461,0.0,1.0,12,12,5,boosting
stz_2h,Santa Tereza · 2 h,2,CatBoost,catboost,12,12,5.176493810960956,7.249492260446764,14.11777607535871,8.502739040027272,0.996688831880322,0.5137058636484509,6.065220686565567,18.85656919970984,0.5,1.0,12,12,6,boosting
stz_2h,Santa Tereza · 2 h,2,Elastic Net,scikit-learn,12,12,5.758712886328825,8.304369854197459,15.451523208940351,8.452178711356837,0.9961115664018838,1.0488419467900074,6.196072578430176,28.97575759887696,0.0,1.0,12,12,7,linear
stz_2h,Santa Tereza · 2 h,2,SVR,scikit-learn,12,12,5.760231050270614,10.24252062742744,28.58842042593181,8.519068155103792,0.9959545812710316,0.7984499225810531,5.5663784268222685,53.5095483539269,1.0,2.0,12,12,8,kernel
stz_2h,Santa Tereza · 2 h,2,MLP,scikit-learn,12,12,6.53679105321892,9.085813756053646,17.982877731323242,9.227142325154812,0.9954898044619706,0.3261553864933482,9.770309746265411,46.025390625,0.0,1.0,12,12,9,neural tabular
stz_2h,Santa Tereza · 2 h,2,Ridge,scikit-learn,12,12,6.884829610436299,8.975268549313762,16.420839150209684,8.962980860522702,0.9953284943543824,1.9743498831237465,8.500964164733887,30.437030792236328,0.0,2.0,12,12,10,linear
stz_2h,Santa Tereza · 2 h,2,Transformer temporal,pytorch-cpu,12,12,9.112214635656436,11.889501709795493,27.514942717003844,12.516938442872306,0.9907649734025804,2.085025952876318,21.46898988586338,28.30507382263636,1.0,2.0,12,12,11,temporal neural
stz_2h,Santa Tereza · 2 h,2,N-BEATS experimental,pytorch-cpu,12,12,10.057284177165611,10.939356089554892,16.974446366353362,14.84212971414487,0.9885063407958616,-0.1782180050063655,9.11937916386296,116.4303379888936,1.0,2.0,12,12,12,temporal neural
stz_2h,Santa Tereza · 2 h,2,PatchTST experimental,pytorch-cpu,12,12,12.045430912015531,15.83721846077068,33.29926304832443,17.903268519928787,0.9838741808158104,1.5083934704866826,18.730911779930864,45.41129877690321,1.0,3.0,12,12,13,temporal neural
stz_2h,Santa Tereza · 2 h,2,TCN,pytorch-cpu,12,12,12.745014306719463,13.528408111741252,20.75362416626773,17.867025563369697,0.9835297020852584,0.0780522892948038,7.572279924775216,108.99425913010862,1.0,2.0,12,12,14,temporal neural
stz_2h,Santa Tereza · 2 h,2,LSTM,pytorch-cpu,12,12,13.309259022237104,16.32454578210777,34.85578517063176,19.04590301768736,0.9800781367966852,-0.6785966636129407,12.176571457786396,50.17471739316306,1.0,2.0,12,12,15,temporal neural
stz_2h,Santa Tereza · 2 h,2,GRU,pytorch-cpu,12,12,13.422851629782782,15.213861147043872,23.269455756974764,18.784983382697582,0.9808967170086952,-2.5500419578851004,14.904548932902628,75.24844265527827,1.0,2.0,12,12,16,temporal neural
stz_2h,Santa Tereza · 2 h,2,CNN-1D temporal,pytorch-cpu,12,12,14.003557098337597,14.069167515989164,22.357392795066573,19.472916025669534,0.9823699983671076,-0.1162359123758611,15.184555006160394,137.12477569210705,1.0,19.0,12,12,17,temporal neural
stz_2h,Santa Tereza · 2 h,2,Seq2Seq · decoder 1 passo,pytorch-cpu,12,12,14.67038866448778,17.767863430372657,39.88019860969165,22.04505277154256,0.9742874928563188,-0.587346378629452,12.45607618783231,51.19044363682633,1.0,2.0,12,12,18,temporal neural
stz_2h,Santa Tereza · 2 h,2,DLinear experimental,pytorch-cpu,12,12,15.29145654668995,17.591037756595483,32.67292103438929,20.634489764375594,0.9770570761860476,1.1857949053779595,14.024101908728936,176.75280276563558,1.0,12.0,12,12,19,temporal neural
stz_2h,Santa Tereza · 2 h,2,N-HiTS-lite experimental,pytorch-cpu,12,12,15.587423151760063,15.34393920041781,23.156048136788083,21.06912419390033,0.9803993661232496,2.392567101651612,12.335823727918864,155.3887505333846,1.0,2.0,12,12,20,temporal neural
stz_2h,Santa Tereza · 2 h,2,TFT-lite experimental,pytorch-cpu,12,12,15.982228414083972,16.150294575092207,24.555701624063136,20.8622427907886,0.9765194136633484,-0.3670917576353626,14.952071672769932,74.11931909902853,1.0,19.0,12,12,21,temporal neural
stz_2h,Santa Tereza · 2 h,2,NLinear experimental,pytorch-cpu,12,12,19.71480926635048,25.34316933457632,58.26459276164634,28.94405648561773,0.9495884903983486,-0.4421030443690803,6.8906121341874496,48.55985169968324,2.0,5.0,12,12,22,temporal neural
stz_2h,Santa Tereza · 2 h,2,Persistência,baseline,12,12,19.7172131147541,25.646665900145607,58.29213483146067,30.3381500240804,0.944547638570626,-1.1787039551090597,0.0,16.0,2.0,2.0,12,12,23,baseline
stz_2h,Santa Tereza · 2 h,2,TSMixer experimental,pytorch-cpu,12,12,20.92546318006268,23.00838392947624,41.59719301494205,28.1925407110576,0.956642778033928,-6.53251079379128,17.351355228473835,43.620971606459534,2.0,3.0,12,12,24,temporal neural
