dataset,label,horizon_h,protocol,lookback_h,fold_id,validation_event,test_event,train_event_count,train_rows,validation_rows,test_rows,train_end,test_start,seed,common_source_contract,model,backend,fit_seconds,n,mae_cm,rmse_cm,bias_cm,e95_cm,nse,r2,mape_pct,event_count,median_event_mae_cm,worst_event_mae_cm,median_peak_abs_error_cm,worst_peak_abs_error_cm,median_peak_lag_h,median_peak_lag_abs_h,worst_peak_lag_abs_h,warnings,n_train,epochs_run,best_epoch,best_validation_loss_scaled,n_validation,parameter_count,history_tail
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Persistência,baseline,0.0,214,9.07943925233645,13.18789447742374,0.9018691588785047,32.0,0.9411878427370276,0.9411878427370276,1.9117088273246308,1,9.07943925233645,9.07943925233645,16.0,16.0,0.0,0.0,0.0,,,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Ridge,scikit-learn,0.0030809000600129366,214,2.827698955190516,3.6206229014504063,1.4853807077786634,7.600508546829223,0.9955671527012605,0.9955671527012605,0.6187283216349682,1,2.827698955190516,2.827698955190516,0.8417835235595703,0.8417835235595703,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Elastic Net,scikit-learn,0.012545700068585575,214,2.8056024020520325,3.5260305844693987,1.6972577056595097,7.243923091888426,0.9957957519356653,0.9957957519356653,0.6151100413195473,1,2.8056024020520325,2.8056024020520325,0.3335113525390625,0.3335113525390625,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,SVR,scikit-learn,0.029346399940550327,214,1.7895350276334887,2.540034652817187,0.2324664436046638,5.548205296469843,0.9978182978176217,0.9978182978176217,0.3774790189130575,1,1.7895350276334887,1.7895350276334887,6.1915507647693175,6.1915507647693175,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,MLP,scikit-learn,0.19556299992837012,214,2.750669575461717,3.8266822238637284,-1.26181245825001,7.497427582740783,0.9950482241117735,0.9950482241117735,0.5696613562454053,1,2.750669575461717,2.750669575461717,20.013360500335693,20.013360500335693,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Random Forest,scikit-learn,1.7010682999389246,214,1.8522702956364259,2.6134618297116052,1.0721905122732505,5.210862101190522,0.9976903375918296,0.9976903375918296,0.39872958191196967,1,1.8522702956364259,1.8522702956364259,5.6872967069323295,5.6872967069323295,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Extra Trees,scikit-learn,0.7223944999277592,214,1.61331462848139,2.2792809669193734,0.8770685961158862,4.314860172111872,0.9982432421178623,0.9982432421178623,0.34671448417514655,1,1.61331462848139,1.61331462848139,6.4982918014443385,6.4982918014443385,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,HistGradientBoosting,scikit-learn,2.3884362999815494,214,2.2403549590041436,3.3472858253061495,0.6724397401208864,6.538144267076559,0.9962111991361848,0.9962111991361848,0.4717257661322556,1,2.2403549590041436,2.2403549590041436,6.219479934046831,6.219479934046831,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,XGBoost,xgboost,1.0021835999796167,214,1.8709903448541587,2.6137529867459786,0.9375429415257177,5.012296676635741,0.9976898229396478,0.9976898229396478,0.40233007298769424,1,1.8709903448541587,1.8709903448541587,3.906247138977051,3.906247138977051,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,LightGBM,lightgbm,0.27461760002188385,214,2.070201590707196,3.018208646194404,1.005766198539625,6.507842609681204,0.9969195461934023,0.9969195461934023,0.4391592506485945,1,2.070201590707196,2.070201590707196,6.764008678517484,6.764008678517484,0.0,0.0,0.0,[],883.0,,,,,,
