protocol,dataset,label,horizon_h,lookback_h,fold_id,validation_event,test_event,train_event_count,train_rows,validation_rows,test_rows,train_end,test_start,seed,common_source_contract,model,backend,fit_seconds,status,error,warnings,n_train,epochs_run,best_epoch,best_validation_loss_scaled,n_validation,parameter_count,history_tail
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Persistência,baseline,0.0,completed,,,,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Ridge,scikit-learn,0.0030809000600129366,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Elastic Net,scikit-learn,0.012545700068585575,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,SVR,scikit-learn,0.029346399940550327,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,MLP,scikit-learn,0.19556299992837012,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Random Forest,scikit-learn,1.7010682999389246,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Extra Trees,scikit-learn,0.7223944999277592,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,HistGradientBoosting,scikit-learn,2.3884362999815494,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,XGBoost,xgboost,1.0021835999796167,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,LightGBM,lightgbm,0.27461760002188385,completed,,[],883.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,CatBoost,catboost,3.494556099991314,completed,,[],883.0,,,,,,
